subject,Train_control_accept,train_snake_untypical,vera_train_accept,train_control_unaccept,vera_accept_3_list3_c_tp,answer_accept_0_how_MA_political,conn_typical_zebra_neither,vera_accept_4_list3_a_PRO,conn_typical_echidna_neither,answer_accept_0_where_MA_fido,conn_typical_dacker_neither,vera_accept_8_list3_b_pp,conn_typical_cow_neither,answer_accept_0_who_MA_vacation,conn_typical_sugarglider_neither,vera_accept_12_list3_c_tp,conn_typical_giraffe_neither,answer_accept_0_how_MA_petra,conn_typical_axolotl_neither,vera_accept_13_list3_a_PRO,conn_typical_bosa_neither,answer_accept_0_where_MA_chocolate,conn_typical_fish_neither,vera_accept_17_list3_b_pp,conn_typical_eurypterid_neither,answer_accept_0_who_MA_office,conn_typical_butterfly_neither,vera_accept_21_list3_c_tp,conn_typical_lungfish_neither,answer_accept_0_how_MA_college,conn_typical_chisop_neither,vera_accept_22_list3_a_PRO,conn_typical_skunk_neither,answer_accept_0_where_MA_hideseek,conn_typical_cuttlefish_neither,vera_accept_26_list3_b_pp,conn_typical_bear_neither,answer_accept_0_who_MA_customer,conn_typical_pangolin_neither,vera_accept_30_list3_c_tp,conn_typical_jottle_neither,answer_accept_0_how_MA_holywood,conn_typical_cat_neither,vera_accept_31_list3_a_PRO,answer_accept_0_who_MA_intern,conn_typical_tapir_neither,vera_acceot_35_list3_b_pp,answer_accept_0_where_MA_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A195ALXEOWXS4A,5,2,5,2,0,5,4,1,3,5,3,0,4,5,3,0,4,3,3,0,4,5,3,0,4,5,2,0,3,5,3,0,3,5,3,0,2,5,3,0,2,5,2,0,5,3,0,5,it was easy except for the made up objects,
A3IR7DFEKLLLO,5,1,5,4,0,5,4,5,4,1,2,0,5,5,3,1,5,3,4,2,1,5,3,0,4,4,3,2,1,5,3,4,4,5,2,3,2,5,3,1,1,3,3,4,5,3,1,5,"No, but a little long for the pay",
A2AY4ZM3Y9BTYZ,5,1,5,0,0,5,4,5,3,4,0,1,5,5,5,0,4,5,3,5,5,5,4,0,3,5,4,0,2,5,3,1,2,5,2,0,1,5,3,0,3,4,2,5,5,4,0,5,"no, It just involved common sense and knowledge of the English language.",no
A2YFTTVAH9AFXU,5,4,5,4,0,5,5,0,4,2,3,1,5,5,4,0,5,3,3,1,4,5,1,0,4,4,5,1,5,5,4,1,5,5,5,1,4,5,5,1,5,4,5,0,5,5,1,5,"Not really, it was repetitive but consistent to evaluate each excerpt and picture.","Thank you for this opportunity, I am a native English speaker and this activity helped me practice and strengthen my abilities."
A1ATL3G98SFW4V,4,1,4,4,1,2,4,4,3,3,1,1,4,4,4,1,4,3,3,3,3,3,4,1,3,3,4,1,4,3,3,4,4,3,4,1,2,4,4,2,4,3,4,2,3,3,2,3,No,"I did not find it difficult because if you take the time to read it, it all makes sense"
A2LPP288NK76W4,3,1,2,4,3,1,5,2,2,2,2,2,5,3,2,1,4,3,2,4,3,1,3,1,2,2,4,1,3,4,3,5,4,2,2,2,2,5,2,0,3,3,3,5,3,2,1,3,"I did not find the task difficult, because it was overall relaxing and very easy to do.",
A1GV0UZU0T2ORS,5,2,4,1,0,5,3,5,3,4,2,1,3,5,2,0,4,2,2,5,2,4,3,1,2,3,3,1,3,5,2,3,3,5,3,0,2,4,2,1,2,4,3,4,4,2,1,5,A bit. A lot of reading.,"Nope, all clear."
A25PFSORDO3SWQ,5,1,5,2,1,5,4,5,3,4,2,1,5,5,3,1,5,5,4,1,3,5,5,0,4,4,4,0,4,5,4,3,4,5,3,0,3,3,3,0,3,5,4,0,5,3,0,5,"Yes. It was a bit confusing with the questions about the words in bold. The words could be used to mean the same thing, but I think what was being asked, was if they could be used in the context of the sentence. The questions about how typical the picture was, I didnt' always know what the thing being pictured was, so wasn't sure. The 3rd thing wasn't too difficult.",It would help if you made it clear what is being asked for the questions with the words that are bold.
AWIYSXEA51PFZ,5,0,4,1,0,5,5,0,5,5,3,0,4,5,4,0,5,5,4,0,3,3,2,0,3,3,3,0,3,5,3,0,5,5,4,0,1,5,5,0,3,5,2,0,5,3,0,5,"I only found the ""how typical is this"" part difficult because I didn't know how to answer when I had no idea what the thing was, so I tried to mark the middle of the scale to mean it is neither typical or atypical. ",
A3G1ODAPIHRHUI,4,0,4,1,0,4,2,5,4,4,0,0,4,5,5,0,5,5,4,0,4,5,5,0,4,3,3,0,5,4,2,5,5,5,5,0,5,5,5,0,3,5,5,1,5,5,1,5,"No I did not, I read the instructions and followed them when doing the study, ",Very interesting study.
A2RR04JS69Z5LE,3,3,4,2,3,3,2,3,4,3,1,3,2,3,2,4,3,2,4,3,2,4,2,3,3,4,3,4,3,4,2,4,2,4,3,4,4,3,4,3,4,4,3,4,3,2,3,4,thank you!,no
A1VEEZ5D9WXZIV,5,5,5,5,1,5,5,5,2,5,2,1,5,5,4,1,5,5,5,5,4,5,5,0,5,3,5,1,5,5,4,4,5,3,5,2,5,4,5,1,5,3,5,5,3,5,1,3,no. Because when I read the questions the answers were right there.,the pay needed to be higher
A35CTLWII1LN9V,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,no difficult,i like
A7P3R1AIA4TVV,5,1,5,1,1,5,4,5,2,5,1,1,3,5,4,1,3,5,3,1,2,5,3,1,2,4,3,1,2,5,3,1,3,4,3,1,3,4,3,1,2,5,3,5,5,3,5,5,I thought it started difficult but got easier.,
AIHHRINW9IN1I,5,3,5,2,0,5,5,0,4,4,0,2,5,5,4,0,5,5,4,0,0,5,3,0,0,5,3,0,4,5,0,0,5,5,3,0,2,5,5,0,0,5,3,0,5,4,0,5,"Yes because I didn't know what to say about the few made up items that were in the survey, or if the animals should be judged based on varying color patterns.",
A136K9Y7E4C3G,5,2,5,1,0,5,5,3,4,5,0,0,5,5,4,0,5,5,2,0,5,5,5,0,5,5,4,0,4,5,0,0,5,5,5,0,5,5,5,0,0,5,5,0,5,5,0,5,I was afraid that I truly didn't understand the instructions since the answers seemed onvious,best of luck
A1KTPYX40PRLVW,5,0,5,3,0,5,5,0,5,5,3,0,5,5,4,0,5,5,5,0,3,5,5,0,4,3,5,0,5,5,5,0,5,5,5,0,3,5,5,0,3,5,4,0,3,4,0,5,No. It was fine.,
A1WL3NZ50YEOWP,5,5,5,5,0,5,5,5,5,5,3,0,5,5,5,0,5,0,5,0,3,5,5,0,5,5,5,0,5,5,3,5,5,5,5,0,5,5,5,0,3,5,5,5,,5,0,5,"It was ok, but pretty confusing. Like, some of the sentences sounded ok and others did not. The animal pictures were generically acceptable, except for those weird things that were NOT animals, and most of the paragraph ones were ok. It was just a really strange survey.",You need to pay more for the amount of time that you made this survey take and also because it was confusing.
AXKVHJHF1EOVT,5,3,2,5,3,5,3,3,1,5,0,2,2,5,2,2,4,5,0,4,0,5,5,2,1,3,4,2,3,5,0,5,3,1,3,2,3,5,0,3,0,0,2,2,3,5,2,5,a little bit because you have to pay attention to the reading,none
A3GVUYY3TWRPZT,5,0,5,1,1,5,2,5,1,5,1,1,3,5,3,0,5,4,2,5,1,5,4,1,2,4,3,1,1,5,2,5,4,5,4,2,2,5,4,2,3,5,3,5,5,4,1,5,slightly difficult as I did not know what some of the pictures were so I could not really determine is they were typical or not,fun study 
AAI3I3PT62PDK,5,1,5,1,0,5,1,5,2,4,2,0,4,5,5,0,5,5,3,3,2,5,5,0,2,3,3,0,4,5,3,5,4,5,4,0,4,5,4,0,3,5,4,2,5,4,0,5,"a bit difficult. i wasn't aware of the terms used in several of the pictures, so it was challenging to say if they were appropriate",