subject,Train_control_likely,train_snake_unlikely,vera_train_likely,train_control_unlikely,vera_likely_no3_list3_c_pp,answer_likely_1_how_MA_political,conn_likely_zebra_color,vera_likely_4_list3_a_PRO,conn_likely_echidna_pattern,answer_likely_1_where_MA_fido,conn_likely_dacker_color,vera_likely_8_list3_b_pp,conn_likely_cow_pattern,answer_likely_1_who_MA_vacation,conn_likely_sugarglider_pattern,vera_likely_12_list3_c_tp,conn_likely_giraffe_color,answer_likely_1_how_MA_petra,conn_likely_axolotl_color,vera_likely_13_list3_a_PRO,conn_likely_bosa_color,answer_likely_1_where_MA_chocolate,conn_likely_fish_pattern,vera_likely_17_list3_b_pp,conn_likely_eurypterid_pattern,answer_likely_1_who_MA_office,conn_likely_butterfly_pattern,vera_likely_21_list3_c_tp,conn_likely_lungfish_pattern,answer_likely_1_how_MA_college,conn_likely_chisop_pattern,vera_likely_22_list3_a_PRO,conn_likely_skunk_color,answer_likely_1_where_MA_hideseek,conn_likely_cuttlefish_color,vera_likely_26_list3_b_pp,conn_likely_bear_color,answer_likely_1_who_MA_customer,conn_likely_pangolin_pattern,vera_likely_30_list3_c_tp,conn_likely_jottie_pattern,answer_likely_1_how_MA_holywood,conn_likely_cat_color,vera_likely_31_list3_a_PRO,answer_likely_1_who_MA_intern,conn_likely_tapir_color,vera_likely_35_list3_b_pp,answer_likely_1_where_MA_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A3V8C77FN4FLUA,5,0,5,1,1,4,0,5,0,5,2,1,0,5,2,0,0,5,1,4,2,5,3,1,2,5,0,0,1,3,2,5,0,5,2,0,0,5,0,0,2,5,0,5,5,0,0,5,No it was just really long and very low in pay so it was hard not to think about that.,no
A1YUK67SL5TWT0,5,0,5,0,0,5,0,5,3,5,0,0,0,5,2,0,0,5,3,4,2,4,4,0,0,5,0,0,2,4,0,4,0,3,1,0,0,5,1,0,0,5,0,3,5,1,0,5,some of the time it was hard,no
AMIEYCL7GQF9L,3,2,4,3,3,2,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,4,4,3,4,3,5,4,4,4,3,4,3,4,3,4,3,3,3,4,3,4,5,4,4,2,3,4,nothing.,yeah super study.
ACON9O9NMFOHE,4,0,5,4,0,1,0,5,2,5,0,3,0,5,0,0,0,5,4,4,2,5,5,3,0,5,0,0,3,2,1,5,0,5,2,4,4,5,2,0,3,5,1,1,5,2,0,5,No I did not. I felt it was just very straightforward and most of the questions felt exactly the same time with slightly different people in them.,
AQ5C03D6O9LK6,5,0,5,0,0,4,0,5,1,5,4,0,0,5,2,0,0,5,0,5,0,5,5,0,1,5,0,0,2,4,0,5,0,5,0,0,0,5,0,0,0,5,0,5,5,0,0,5,A little because I didnt know what some of the animals were.,no
A3IRT5NAX14OIT,5,0,5,0,0,2,0,5,3,2,2,4,1,0,2,0,1,1,3,5,0,0,5,0,2,5,3,0,4,5,0,5,2,5,0,0,0,5,1,0,1,2,0,5,4,0,1,1,There was a lot of animals or things with names I've never seen before.,
A3I1W58P6SIV26,4,2,5,5,0,3,0,5,3,3,0,5,0,3,4,0,0,3,3,5,2,4,5,3,4,5,0,5,3,3,1,5,1,5,4,3,0,5,1,0,0,3,0,5,4,0,0,5,"Mixed. Because the parts with the imaginary animals was confusing. I wasn't sure if I was suppose to answer as if they existed, how hard they'd be to find. ",no
A2B227N1NQYS56,5,0,5,4,0,5,0,4,3,5,2,1,0,5,1,1,0,5,2,1,1,5,4,1,1,5,0,1,4,5,0,1,0,5,0,1,0,5,1,1,0,5,0,1,5,0,1,5,I did not find this task difficult because I used my common sense when answering.,
A1TZCSZA0IQ6JB,3,3,2,4,3,4,3,4,3,4,3,4,4,3,3,4,4,3,4,3,4,3,3,4,4,4,4,3,4,3,4,3,4,3,5,4,5,3,3,3,2,3,3,4,4,3,5,4,easy only,superb study.
A2TH9DIRISH8FE,3,0,5,3,0,3,0,5,3,3,0,0,0,3,5,0,0,3,5,5,0,3,3,0,3,3,0,0,5,3,0,5,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,3,nope,
A2YKYAZYVWOXBO,4,1,5,3,1,2,0,5,0,4,1,1,0,0,1,0,0,2,1,2,0,4,2,0,2,5,0,0,1,3,0,5,0,4,0,1,0,4,1,0,1,5,0,5,5,0,0,4,no,no
A1IFF4KV23FGHJ,5,0,5,1,0,3,0,5,4,4,1,0,0,3,4,0,0,4,2,0,1,2,1,0,1,2,0,0,1,2,1,4,0,1,1,0,0,3,1,0,1,1,0,4,1,0,0,3,"Not too difficult, it felt repetitive though.  The answers were easy to understand most of the time.",no
ASAAL9165IX44,3,0,4,4,4,3,0,3,4,3,2,3,0,3,3,3,0,3,1,3,2,3,4,3,3,3,3,3,2,3,3,3,1,3,2,3,0,3,4,4,1,3,0,2,3,0,2,3,it was fairly easy to understand,no
A17FGZ1I5P9RZA,4,1,5,0,0,5,1,5,4,4,2,1,0,4,4,0,0,4,2,0,2,3,4,0,3,4,1,0,4,3,3,3,1,4,4,0,1,5,3,0,2,5,1,5,5,2,0,5,A little the pictures were of some things I had no idea what they were so I split the difference on the likleyhood. ,
A3KC385CZNYEG5,4,0,5,3,0,4,0,1,2,5,1,1,1,4,1,0,0,4,1,1,1,4,3,0,1,4,1,0,2,4,1,1,1,5,2,0,0,4,1,0,1,4,0,1,4,0,0,4,"A little. I wasn't sure, with the pictures, whether I should be answering theoretically in the case of extremely uncommon animals that nevertheless, should I find them, might look rather like the ones depicted. And then there are the weird nonsense objects, which I just figured... yeah, if I ever saw one of those, I guess... maybe it would look like that, whatever it is. But I couldn't say it wasn't a representative example of that object, because I've never seen an object like that.","Not especially. Except that I was in fact trying to answer in earnest, as strange as some of my answers might appear at first glance."
AWAW665TQQP2F,5,0,5,1,0,4,0,2,0,5,3,5,0,5,1,0,0,3,0,5,0,5,4,3,1,4,0,0,1,3,0,5,0,4,2,5,0,3,0,0,0,3,0,5,5,0,5,5,I did sometimes because I was second guessing myself.,Not particularly but thank you for allowing me to participate.
A2MKXI4KCRRI7Y,5,0,5,3,0,5,0,4,5,5,3,1,0,4,4,0,0,4,4,0,3,5,5,0,0,5,0,0,4,5,0,3,0,5,2,1,0,5,1,0,0,5,0,1,5,0,1,5,"no, the answers seems obvious",
AH31QLJ57XC8W,3,3,2,4,2,2,0,4,5,3,0,3,5,2,5,4,0,2,5,4,0,2,5,1,5,3,0,1,5,4,0,2,0,4,0,2,0,2,0,2,0,4,0,4,3,0,0,2,no,
A3EWC3BN8RU33I,5,0,5,3,0,4,0,5,4,3,0,0,0,5,1,0,0,2,5,0,0,1,4,0,0,0,1,0,4,5,0,3,0,5,0,0,0,5,0,0,0,1,0,0,5,0,0,4,It was neither too hard nor too easy.,This survey was quite interesting.
A1O67YS3DU0ZHX,5,1,5,0,0,4,0,5,5,4,0,0,0,4,3,0,0,5,2,0,1,5,5,0,2,4,0,0,4,2,2,3,0,4,3,0,0,5,3,0,2,4,0,2,4,1,1,3,No - I answered according to what I felt was likely to happen in the scenario.,N/A