subject,Train_control_likely,train_snake_unlikely,vera_train_likely,train_control_unlikely,vera_likely_2_list2_b_pp,answer_likely_1_how_MS_political,conn_likely_zebra_pattern,vera_likely_6_list2_c_tp,conn_likely_echidna_color,answer_likely_1_where_MS_fido,conn_likely_dacker_pattern,vera_likely_7_list2_a_PRO,conn_likely_cow_color,answer_likely_1_who_MS_vacation,conn_likely_sugarglider_color,vera_likely_11_list2_b_pp,conn_likely_giraffe_pattern,answer_likely_1_how_MS_petra,conn_likely_axolotl_pattern,vera_likely_15_list2_c_tp,conn_likely_bosa_pattern,answer_likely_1_where_MS_chocolate,conn_likely_fish_color,vera_likely_16_list2_a_PRO,conn_likely_eurypterid_color,answer_likely_1_who_MS_office,conn_likely_butterfly_color,vera_likely_20_list2_a_pp,conn_likely_lungfish_color,answer_likely_1_how_MS_college,conn_likely_chisop_color,vera_likely_24_list2_c_tp,conn_likely_skunk_pattern,answer_likely_1_where_MS_hideseek,conn_likely_cuttlefish_pattern,vera_likely_25_list2_a_PRO,conn_likely_bear_pattern,answer_likely_1_who_MS_customer,conn_likely_pangolin_color,vera_likely_29_list2_b_pp,conn_likely_jottie_color,answer_likely_1_how_MS_holywood,conn_likely_cat_pattern,vera_likely_33_list2_c_tp,answer_likely_1_who_MS_intern,conn_likely_tapir_pattern,vera_likely_34_list2_a_PRO,answer_likely_1_where_MS_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A20N1NK5X5S88F,5,5,5,0,0,3,5,0,0,5,0,5,0,4,0,0,5,5,0,0,0,5,5,5,0,5,5,1,5,2,0,0,5,4,3,5,0,3,0,0,0,4,5,5,5,0,0,2,nope. it was all common sense.,i like mangos
AMPMTF5IAAMK8,5,0,5,2,0,4,4,0,0,5,0,0,0,5,4,0,0,5,1,0,1,1,2,0,1,4,0,0,0,4,1,0,3,4,1,5,2,4,0,0,1,4,4,0,4,1,5,4,I did not because it was intuitive,no
A1CY01G7686ORZ,5,0,5,1,0,1,0,0,0,4,0,1,0,5,1,1,0,2,0,0,1,0,2,5,1,3,0,1,1,3,1,1,2,2,2,4,0,3,0,1,0,0,0,0,4,0,3,2,"No, I'm good at reading and figuring things out.",no
A2UBEPT605E8T2,5,0,5,2,0,5,2,0,0,4,0,5,0,5,4,0,0,5,2,0,3,5,2,0,4,5,0,0,0,5,0,0,1,5,5,5,0,5,0,0,0,5,0,0,5,3,5,5,"Yes, it was difficult to follow along, the reading was hard. And it was boring and repetitive.",
A2BF3A9KYSEFPO,5,3,5,1,0,5,4,0,3,5,2,5,4,5,0,0,3,4,2,0,1,5,4,5,2,5,0,5,4,5,3,0,4,5,4,5,4,5,4,0,2,5,1,0,5,4,4,2,not that difficult because the instruction is clear,none
A3BXT78QXFC6F3,3,0,5,3,0,3,0,0,0,1,2,5,0,1,5,0,0,2,0,0,0,2,2,0,0,4,1,0,0,3,5,0,2,5,5,5,0,5,0,0,2,5,2,0,3,3,5,3,no,no
A2NXHJ905WLGAA,5,0,5,5,0,2,5,0,0,3,0,5,0,5,3,0,1,4,1,0,0,0,5,5,4,3,0,0,1,4,4,0,0,5,3,0,0,5,0,0,1,3,0,0,3,2,0,4,IT was pretty simple overall,
A2RVFMCKSSEHDV,5,0,5,0,0,1,4,0,1,4,2,5,0,4,3,1,4,3,1,0,2,3,3,5,2,4,1,0,1,1,1,0,3,4,1,5,0,4,1,0,3,4,3,0,4,2,4,4,"not difficult, just a lot of reading",none
A3IDAO8T75VO3Z,5,0,5,0,4,3,0,0,0,4,0,4,0,3,1,0,0,4,3,0,0,3,1,0,1,3,0,0,2,2,0,0,0,4,3,5,0,4,1,0,0,3,3,0,3,3,0,3,"I found the animal portions confusing. In real life, very few of the drawings represented what the animal actually looked like, which led me to click the very lowest score, but if you were wanting me to go on the assumption that the picture represented the animal, period, it would have been the wrong response. Anyway, I hope that clears up any confusion about those answers..",Thanks for the opportunity to participate!
AK27D3SD6EZX6,5,5,5,5,0,5,5,0,5,5,5,1,5,5,5,0,5,4,5,0,5,4,5,5,5,5,5,0,5,5,5,0,5,4,5,5,5,3,5,0,5,5,5,0,4,5,5,4,"Nope, however, it felt like you were trying to confuse me. ",Thanks for the study.
AXKTYKCT9NGHS,4,0,5,0,0,4,0,0,0,4,2,0,0,4,4,0,0,5,3,0,4,5,1,0,2,4,2,0,3,4,1,0,1,5,4,4,0,5,1,1,2,4,1,1,5,0,2,5,I did not. It was simple to understand and straightforward.,Nope
A3IEGJT83U746S,5,0,5,0,0,4,5,0,0,5,3,2,0,5,0,2,2,5,4,2,3,5,2,2,3,5,3,1,2,5,2,1,4,5,1,3,0,5,1,0,2,5,3,1,5,3,1,5,not difficult directions were straightforward,underpaid task
A10JXOU89D5RXR,5,0,5,1,0,5,4,0,0,5,3,0,1,5,3,0,3,5,2,0,1,5,4,0,1,5,1,0,4,5,2,0,4,5,4,0,1,5,1,0,3,5,4,0,5,3,0,5,just the pictures because some were unfamiliar,no
A3VDG4N48AVYGQ,3,1,5,4,0,1,2,0,1,3,0,0,2,4,4,0,2,2,3,0,3,1,5,0,3,3,3,0,2,2,3,0,5,5,4,0,2,5,3,0,4,5,4,0,4,4,0,5,It wasn't too difficult because the information in the stories made it clear as to the answer.,
A6ZAKE3FP8YKY,4,3,4,4,1,3,4,1,1,3,4,4,1,3,4,4,1,2,3,4,4,1,0,5,4,3,3,3,1,4,5,0,0,4,2,5,1,3,3,4,4,3,1,0,3,4,4,4,No because I have a good vocabulary,no
AB5T5XCK2ZD47,4,1,4,2,2,3,1,1,0,4,2,4,0,2,3,1,0,3,2,0,0,4,1,1,1,4,0,0,1,4,1,0,0,4,2,2,0,4,0,0,0,4,0,0,3,0,2,3,"No, most questions were obvious.",
A1V1JNPU0KOA3X,4,1,5,1,0,3,2,0,0,4,1,2,1,4,1,0,0,4,0,0,0,3,2,1,1,3,0,0,0,3,2,0,0,3,2,3,0,4,0,1,2,2,0,0,4,2,3,3,It was not very difficult because the responses were easy to deduce from the context of the written material or from how realistic the drawings appeared.,no
AOWW3URQNRJ6U,5,1,5,4,1,0,4,0,0,4,0,4,0,3,5,4,4,2,3,1,1,4,4,5,3,3,1,1,0,4,2,1,4,5,1,5,0,3,0,0,4,4,2,0,4,1,5,4,No it all seemed pretty simple. Most of it was obvious.,No
A31A4YKVSOYRVS,3,4,2,3,4,2,3,3,2,1,3,1,2,1,3,1,2,3,2,1,3,2,4,4,3,3,2,4,2,4,3,2,4,2,3,4,2,3,2,4,3,2,4,2,3,2,3,1,I am not sure.,No